E. coli ATCC11775,P. aeruginosa PAO1,P. aeruginosa PA14,S. aureus ATCC12600,E. coli AIG221,E. coli AIG222,K. pneumoniae ATCC13883,A. baumannii ATCC19606,A. muciniphila ATCC BAA-835,B. fragilis ATCC25285,B. vulgatus ATCC8482,C. aerofaciens ATCC25986,C. scindens ATCC35704,B. thetaiotaomicron ATCC29148,B. thetaiotaomicron Complemmented,B. thetaiotaomicron Mutant,B. uniformis ATCC8492,B. eggerthi ATCC27754,C. spiroforme ATCC29900,P. distasonis ATCC8503,P. copri DSMZ18205,B. ovatus ATCC8483,E. rectale ATCC33656,C. symbiosum,R. obeum,R. torques,S. aureus (ATCC BAA-1556) - MRSA,vancomycin-resistant E. faecalis ATCC700802,vancomycin-resistant E. faecium ATCC700221,E. coli Nissle,Salmonella enterica ATCC 9150 (BEIRES NR-515),Salmonella enterica (BEIRES NR-170),Salmonella enterica ATCC 9150 (BEIRES NR-174),L. monocytogenes ATCC 19111 (BEIRES NR-106)
2.395261,4.3055487,6.397162,12.660839,3.5653584,23.359661,6.5321007,1.9538615,6.5698953,5.8485637,10.920117,3.2614307,2.2131004,4.238298,23.719584,15.410189,1.5788064,2.888074,8.504976,2.8716092,5.941537,11.555367,10.267882,92.1559,275.59207,88.29082,12.897255,28.987675,3.9039454,391.34317,17.546343,264.25494,224.95451,19.653847
2.4449708,4.5876884,7.3304863,12.351071,3.5003712,18.060987,6.53032,1.7756561,6.00169,5.4488597,9.111173,3.2471538,2.1098108,3.697047,23.330143,14.14245,1.4481581,2.5869484,7.7236433,2.803942,5.4500513,10.894466,9.151316,85.443016,248.98306,82.34469,12.998236,30.017294,4.057541,249.33516,17.894346,260.19525,219.68608,21.247944
3.8652034,8.178395,12.738499,13.595599,4.217658,10.528388,8.321394,2.534902,6.048045,8.090509,9.828674,5.53559,3.1436214,4.913615,23.179752,14.407544,2.1286206,3.5478039,7.9447393,5.2508597,6.8271303,12.170795,9.989305,68.91284,235.19661,65.43702,14.428854,32.894585,5.2628584,223.25528,16.226263,244.56131,199.7233,19.771435
3.2834325,5.39138,8.7219715,15.376712,4.5547757,17.737226,8.479125,2.1840386,5.2604475,6.0451,8.429818,3.300251,2.4343255,4.1927156,25.636896,15.122348,1.6714182,3.071233,8.513602,3.026014,5.8193135,12.570041,10.967283,91.63855,235.35464,88.11942,15.797008,32.7863,4.6141124,282.50015,16.230097,269.65164,217.87907,20.58021
4.452035,8.562277,12.080617,16.056273,5.0735636,15.566585,9.36392,3.3679318,7.1461287,9.964415,14.049585,6.7212934,4.119331,6.73845,25.268847,16.873926,2.845871,4.51464,10.163975,6.151085,8.653333,14.618037,12.660097,79.7522,252.3697,75.50878,16.52636,34.026867,6.042042,391.12408,16.540613,268.92642,199.04605,19.14047
7.734929,23.180923,31.5419,9.898211,14.409764,8.494922,17.247272,5.967252,10.360429,19.60513,9.389288,9.744251,5.556744,13.096135,33.908947,21.431763,7.220231,8.180628,6.709854,17.140327,13.144732,19.716394,7.39224,55.09724,215.50864,69.64266,9.579657,26.919882,8.709543,438.75055,21.193699,179.67802,188.6652,24.776556
4.392132,8.09104,14.586293,12.434624,5.700105,10.200853,10.088913,2.499645,5.182004,6.9916916,8.458275,4.896183,3.7222545,4.455409,25.451374,14.888059,2.3032007,4.517921,8.062746,4.88516,6.5057464,12.11668,12.169399,77.9254,220.43974,71.492966,14.146639,32.656094,5.3034525,277.2099,15.691877,253.13387,263.51895,21.298023
10.693182,90.71967,87.14809,2.8908374,13.36424,6.146373,14.904755,7.4964423,39.843357,36.900032,17.940903,26.489151,7.8282943,21.975828,52.249855,35.39148,15.956133,17.960133,10.950307,45.89661,21.866749,28.480076,11.568296,56.92222,229.74329,100.79302,4.792038,32.879814,4.548433,595.5164,24.414793,315.35925,412.0145,32.93945
5.743371,8.342468,12.579471,24.282116,5.188741,18.569813,11.443171,4.130299,5.5268764,9.949826,11.306967,6.0694513,2.5372984,6.577237,27.715658,17.220455,2.3104296,3.9796739,10.819151,5.041092,8.279638,14.976962,10.316996,71.163704,214.44632,77.80668,23.654041,40.53425,7.1633873,212.46355,13.102086,155.76096,162.98764,17.044682
6.290552,9.429988,15.491098,24.996384,5.076257,12.945117,12.256134,3.9038882,5.4034443,9.453558,8.550014,6.2015686,2.269251,5.751857,28.32232,16.425726,2.1515627,3.5906627,10.220082,5.075788,7.266491,14.440204,8.67038,64.243835,198.41966,76.11443,25.261679,43.60617,7.5992064,163.24568,13.541898,159.72816,158.85251,19.365307
8.915661,23.099598,33.92902,12.305881,18.481018,11.211045,20.632015,7.375463,9.004084,21.806507,10.875913,11.444079,6.8648367,14.895787,35.55301,23.982037,8.40996,10.009611,8.551384,18.805738,15.501796,22.11738,9.518282,60.00722,214.11172,76.77388,11.552521,28.94099,10.95067,679.8631,23.36745,183.49146,202.78706,28.635921
7.630094,12.32785,17.703648,23.381573,10.479141,9.20146,22.415648,2.9044673,6.383163,26.169846,5.934497,6.482625,8.819544,18.430698,45.19024,26.768442,13.305781,12.689106,18.811253,14.137739,18.556782,33.84195,21.576214,129.51093,346.4423,143.1019,24.31988,40.74848,5.0349336,514.9649,8.305555,235.54233,261.74582,15.221003
6.2803373,9.131106,15.980809,18.716848,7.13965,12.552615,13.4318905,3.8108191,4.653234,9.249105,10.045031,5.8507566,3.6112087,6.188288,26.769653,16.059433,2.7179065,5.2742147,9.242318,6.471714,7.8605766,14.035576,13.104736,74.42745,224.82596,74.67737,19.558064,37.936157,8.056124,264.91183,16.107946,229.13486,252.60957,21.998796
